Timestamp,AccelX,AccelY,AccelZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ
20170214172816837,-1,0,0.1,0,0,0,0,0,0
20170214172816840,-1,0,0.1,0,0,0,0,0,0
20170214172816840,-1,0,0.1,0,0,0,0,0,0
20170214172816840,-1,0,0.1,0,0,0,0,0,0
20170214172816840,-1,0,0.1,0,0,0,0,0,0
20170214172816840,-1,0,0.1,0,0,0,0,0,0
20170214172816840,-1,0,0.1,0,0,0,0,0,0
20170214172816840,-1,0,0.1,0,0,0,0,0,0
20170214172816840,-1,0,0.1,0,0,0,0,0,0
20170214172817829,-0.9,0,0,-2.2,-7.2,-124.3,1.6,-0.2,-4
20170214172817829,-0.9,0,0,-2.2,-7.2,-124.3,1.6,-0.2,-4
20170214172817829,-0.9,0,0,-2.2,-7.2,-124.3,1.6,-0.2,-4
20170214172817829,-0.9,0,0,-2.2,-7.2,-124.3,1.6,-0.2,-4
20170214172817829,-0.9,0,0,-2.2,-7.2,-124.3,1.6,-0.2,-4
20170214172817829,-0.9,0,0,-2.2,-7.2,-124.3,1.6,-0.2,-4
20170214172817829,-0.9,0,0,-2.2,-7.2,-124.3,1.6,-0.2,-4
20170214172817829,-0.9,0,0,-2.2,-7.2,-124.3,1.6,-0.2,-4
20170214172817829,-0.9,0,0,-2.2,-7.2,-124.3,1.6,-0.2,-4
20170214172818822,-0.9,0,0,-0.6,-6.6,-124.4,0.8,1.7,-4
20170214172818822,-0.9,0,0,-0.6,-6.6,-124.4,0.8,1.7,-4
20170214172818822,-0.9,0,0,-0.6,-6.6,-124.4,0.8,1.7,-4
20170214172818822,-0.9,0,0,-0.6,-6.6,-124.4,0.8,1.7,-4
20170214172818822,-0.9,0,0,-0.6,-6.6,-124.4,0.8,1.7,-4
20170214172818823,-0.9,0,0,-0.6,-6.6,-124.4,0.8,1.7,-4
20170214172818823,-0.9,0,0,-0.6,-6.6,-124.4,0.8,1.7,-4
20170214172818823,-0.9,0,0,-0.6,-6.6,-124.4,0.8,1.7,-4
20170214172818823,-0.9,0,0,-0.6,-6.6,-124.4,0.8,1.7,-4
20170214172819816,-1,0,0,0.1,-7,-124.4,1,1.6,-4.1
20170214172819816,-1,0,0,0.1,-7,-124.4,1,1.6,-4.1
20170214172819816,-1,0,0,0.1,-7,-124.4,1,1.6,-4.1
20170214172819816,-1,0,0,0.1,-7,-124.4,1,1.6,-4.1
20170214172819816,-1,0,0,0.1,-7,-124.4,1,1.6,-4.1
20170214172819816,-1,0,0,0.1,-7,-124.4,1,1.6,-4.1
20170214172819816,-1,0,0,0.1,-7,-124.4,1,1.6,-4.1
20170214172819816,-1,0,0,0.1,-7,-124.4,1,1.6,-4.1
20170214172819816,-1,0,0,0.1,-7,-124.4,1,1.6,-4.1
2017021417282108,-0.9,0.1,0.1,-0.9,-6.6,-122.3,2.1,0.9,-1.8
2017021417282109,-0.9,0.1,0.1,-0.9,-6.6,-122.3,2.1,0.9,-1.8
2017021417282109,-0.9,0.1,0.1,-0.9,-6.6,-122.3,2.1,0.9,-1.8
2017021417282109,-0.9,0.1,0.1,-0.9,-6.6,-122.3,2.1,0.9,-1.8
2017021417282109,-0.9,0.1,0.1,-0.9,-6.6,-122.3,2.1,0.9,-1.8
2017021417282109,-0.9,0.1,0.1,-0.9,-6.6,-122.3,2.1,0.9,-1.8
2017021417282109,-0.9,0.1,0.1,-0.9,-6.6,-122.3,2.1,0.9,-1.8
2017021417282109,-0.9,0.1,0.1,-0.9,-6.6,-122.3,2.1,0.9,-1.8
2017021417282109,-0.9,0.1,0.1,-0.9,-6.6,-122.3,2.1,0.9,-1.8
20170214172821803,-1,0,0,-1.2,-8.2,-122.8,0.6,0.4,-3.4
20170214172821804,-1,0,0,-1.2,-8.2,-122.8,0.6,0.4,-3.4
20170214172821804,-1,0,0,-1.2,-8.2,-122.8,0.6,0.4,-3.4
20170214172821804,-1,0,0,-1.2,-8.2,-122.8,0.6,0.4,-3.4
20170214172821804,-1,0,0,-1.2,-8.2,-122.8,0.6,0.4,-3.4
20170214172821804,-1,0,0,-1.2,-8.2,-122.8,0.6,0.4,-3.4
20170214172821804,-1,0,0,-1.2,-8.2,-122.8,0.6,0.4,-3.4
20170214172821804,-1,0,0,-1.2,-8.2,-122.8,0.6,0.4,-3.4
20170214172821804,-1,0,0,-1.2,-8.2,-122.8,0.6,0.4,-3.4
20170214172822797,-1,0,0,0.4,-6.6,-123.7,2.1,0,-2.7
20170214172822797,-1,0,0,0.4,-6.6,-123.7,2.1,0,-2.7
20170214172822797,-1,0,0,0.4,-6.6,-123.7,2.1,0,-2.7
20170214172822797,-1,0,0,0.4,-6.6,-123.7,2.1,0,-2.7
20170214172822797,-1,0,0,0.4,-6.6,-123.7,2.1,0,-2.7
20170214172822797,-1,0,0,0.4,-6.6,-123.7,2.1,0,-2.7
20170214172822798,-1,0,0,0.4,-6.6,-123.7,2.1,0,-2.7
20170214172822798,-1,0,0,0.4,-6.6,-123.7,2.1,0,-2.7
20170214172822799,-1,0,0,0.4,-6.6,-123.7,2.1,0,-2.7
20170214172823791,-1,0,0,0.3,-6.1,-124.3,1.2,0.8,-1.9
20170214172823792,-1,0,0,0.3,-6.1,-124.3,1.2,0.8,-1.9
20170214172823792,-1,0,0,0.3,-6.1,-124.3,1.2,0.8,-1.9
20170214172823792,-1,0,0,0.3,-6.1,-124.3,1.2,0.8,-1.9
20170214172823792,-1,0,0,0.3,-6.1,-124.3,1.2,0.8,-1.9
20170214172823792,-1,0,0,0.3,-6.1,-124.3,1.2,0.8,-1.9
20170214172823792,-1,0,0,0.3,-6.1,-124.3,1.2,0.8,-1.9
20170214172823792,-1,0,0,0.3,-6.1,-124.3,1.2,0.8,-1.9
20170214172823792,-1,0,0,0.3,-6.1,-124.3,1.2,0.8,-1.9
20170214172824786,-1,0,0.1,-0.7,-6.9,-124.9,0.7,0.5,-2.6
20170214172824786,-1,0,0.1,-0.7,-6.9,-124.9,0.7,0.5,-2.6
20170214172824786,-1,0,0.1,-0.7,-6.9,-124.9,0.7,0.5,-2.6
20170214172824786,-1,0,0.1,-0.7,-6.9,-124.9,0.7,0.5,-2.6
20170214172824786,-1,0,0.1,-0.7,-6.9,-124.9,0.7,0.5,-2.6
20170214172824786,-1,0,0.1,-0.7,-6.9,-124.9,0.7,0.5,-2.6
20170214172824786,-1,0,0.1,-0.7,-6.9,-124.9,0.7,0.5,-2.6
20170214172824786,-1,0,0.1,-0.7,-6.9,-124.9,0.7,0.5,-2.6
20170214172824787,-1,0,0.1,-0.7,-6.9,-124.9,0.7,0.5,-2.6
20170214172825779,-1,0,0,-0.6,-6.6,-123.7,1.4,0,-4.9
20170214172825779,-1,0,0,-0.6,-6.6,-123.7,1.4,0,-4.9
20170214172825779,-1,0,0,-0.6,-6.6,-123.7,1.4,0,-4.9
20170214172825779,-1,0,0,-0.6,-6.6,-123.7,1.4,0,-4.9
20170214172825779,-1,0,0,-0.6,-6.6,-123.7,1.4,0,-4.9
20170214172825779,-1,0,0,-0.6,-6.6,-123.7,1.4,0,-4.9
20170214172825779,-1,0,0,-0.6,-6.6,-123.7,1.4,0,-4.9
20170214172825779,-1,0,0,-0.6,-6.6,-123.7,1.4,0,-4.9
20170214172825779,-1,0,0,-0.6,-6.6,-123.7,1.4,0,-4.9
20170214172826772,-0.9,0,0,-0.7,-7.9,-123.2,2.8,1.7,-3
20170214172826772,-0.9,0,0,-0.7,-7.9,-123.2,2.8,1.7,-3
20170214172826772,-0.9,0,0,-0.7,-7.9,-123.2,2.8,1.7,-3
20170214172826772,-0.9,0,0,-0.7,-7.9,-123.2,2.8,1.7,-3
20170214172826772,-0.9,0,0,-0.7,-7.9,-123.2,2.8,1.7,-3
20170214172826772,-0.9,0,0,-0.7,-7.9,-123.2,2.8,1.7,-3
