Connecting...
Enable Sensors (Acc, Mag, Gyro)
Timestamp,X,Y,Z,MagX,MagY,MagZ,GyroX,GyroY,GyroZ
2017:02:03:16:52:59:873,0,0,1,12.4,-29.8,48.4,-2,-1.8,-3.7
2017:02:03:16:52:59:873,0,0,1,12.4,-29.8,48.4,-2,-1.8,-3.7
2017:02:03:16:52:59:873,0,0,1,12.4,-29.8,48.4,-2,-1.8,-3.7
2017:02:03:16:52:59:873,0,0,1,12.4,-29.8,48.4,-2,-1.8,-3.7
2017:02:03:16:52:59:873,0,0,1,12.4,-29.8,48.4,-2,-1.8,-3.7
2017:02:03:16:52:59:873,0,0,1,12.4,-29.8,48.4,-2,-1.8,-3.7
2017:02:03:16:52:59:873,0,0,1,12.4,-29.8,48.4,-2,-1.8,-3.7
2017:02:03:16:52:59:874,0,0,1,12.4,-29.8,48.4,-2,-1.8,-3.7
2017:02:03:16:53:00:867,0,0,1,11.7,-28.8,47.8,-0.6,-1.3,-4.4
2017:02:03:16:53:00:867,0,0,1,11.7,-28.8,47.8,-0.6,-1.3,-4.4
2017:02:03:16:53:00:867,0,0,1,11.7,-28.8,47.8,-0.6,-1.3,-4.4
2017:02:03:16:53:00:867,0,0,1,11.7,-28.8,47.8,-0.6,-1.3,-4.4
2017:02:03:16:53:00:867,0,0,1,11.7,-28.8,47.8,-0.6,-1.3,-4.4
2017:02:03:16:53:00:867,0,0,1,11.7,-28.8,47.8,-0.6,-1.3,-4.4
2017:02:03:16:53:00:867,0,0,1,11.7,-28.8,47.8,-0.6,-1.3,-4.4
2017:02:03:16:53:00:867,0,0,1,11.7,-28.8,47.8,-0.6,-1.3,-4.4
2017:02:03:16:53:00:867,0,0,1,11.7,-28.8,47.8,-0.6,-1.3,-4.4
2017:02:03:16:53:01:860,0,0,1,11.7,-28.8,48.1,1.1,-3.1,-5
2017:02:03:16:53:01:860,0,0,1,11.7,-28.8,48.1,1.1,-3.1,-5
2017:02:03:16:53:01:860,0,0,1,11.7,-28.8,48.1,1.1,-3.1,-5
2017:02:03:16:53:01:860,0,0,1,11.7,-28.8,48.1,1.1,-3.1,-5
2017:02:03:16:53:01:860,0,0,1,11.7,-28.8,48.1,1.1,-3.1,-5
2017:02:03:16:53:01:860,0,0,1,11.7,-28.8,48.1,1.1,-3.1,-5
2017:02:03:16:53:01:860,0,0,1,11.7,-28.8,48.1,1.1,-3.1,-5
2017:02:03:16:53:01:860,0,0,1,11.7,-28.8,48.1,1.1,-3.1,-5
2017:02:03:16:53:01:860,0,0,1,11.7,-28.8,48.1,1.1,-3.1,-5
2017:02:03:16:53:02:853,0,0,1,13,-29.8,48.1,0.2,-2.4,-2.8
2017:02:03:16:53:02:853,0,0,1,13,-29.8,48.1,0.2,-2.4,-2.8
2017:02:03:16:53:02:854,0,0,1,13,-29.8,48.1,0.2,-2.4,-2.8
2017:02:03:16:53:02:854,0,0,1,13,-29.8,48.1,0.2,-2.4,-2.8
2017:02:03:16:53:02:854,0,0,1,13,-29.8,48.1,0.2,-2.4,-2.8
2017:02:03:16:53:02:854,0,0,1,13,-29.8,48.1,0.2,-2.4,-2.8
2017:02:03:16:53:02:854,0,0,1,13,-29.8,48.1,0.2,-2.4,-2.8
2017:02:03:16:53:02:854,0,0,1,13,-29.8,48.1,0.2,-2.4,-2.8
2017:02:03:16:53:02:854,0,0,1,13,-29.8,48.1,0.2,-2.4,-2.8
2017:02:03:16:53:03:850,-0.7,0,0.7,11.1,-28.6,49,-2,-1.2,-4.8
2017:02:03:16:53:03:850,-0.7,0,0.7,11.1,-28.6,49,-2,-1.2,-4.8
2017:02:03:16:53:03:850,-0.7,0,0.7,11.1,-28.6,49,-2,-1.2,-4.8
2017:02:03:16:53:03:850,-0.7,0,0.7,11.1,-28.6,49,-2,-1.2,-4.8
2017:02:03:16:53:03:850,-0.7,0,0.7,11.1,-28.6,49,-2,-1.2,-4.8
2017:02:03:16:53:03:850,-0.7,0,0.7,11.1,-28.6,49,-2,-1.2,-4.8
2017:02:03:16:53:03:850,-0.7,0,0.7,11.1,-28.6,49,-2,-1.2,-4.8
2017:02:03:16:53:03:850,-0.7,0,0.7,11.1,-28.6,49,-2,-1.2,-4.8
2017:02:03:16:53:03:850,-0.7,0,0.7,11.1,-28.6,49,-2,-1.2,-4.8
2017:02:03:16:53:05:41,-1,0,0,10.2,-28.8,46.8,-4.5,256,3
2017:02:03:16:53:05:41,-1,0,0,10.2,-28.8,46.8,-4.5,256,3
2017:02:03:16:53:05:41,-1,0,0,10.2,-28.8,46.8,-4.5,256,3
2017:02:03:16:53:05:41,-1,0,0,10.2,-28.8,46.8,-4.5,256,3
2017:02:03:16:53:05:41,-1,0,0,10.2,-28.8,46.8,-4.5,256,3
2017:02:03:16:53:05:41,-1,0,0,10.2,-28.8,46.8,-4.5,256,3
2017:02:03:16:53:05:41,-1,0,0,10.2,-28.8,46.8,-4.5,256,3
2017:02:03:16:53:05:41,-1,0,0,10.2,-28.8,46.8,-4.5,256,3
2017:02:03:16:53:05:41,-1,0,0,10.2,-28.8,46.8,-4.5,256,3
2017:02:03:16:53:06:34,-1.1,0,0,6.4,-10.9,1.2,-1.3,-3.5,-3.9
2017:02:03:16:53:06:34,-1.1,0,0,6.4,-10.9,1.2,-1.3,-3.5,-3.9
2017:02:03:16:53:06:34,-1.1,0,0,6.4,-10.9,1.2,-1.3,-3.5,-3.9
2017:02:03:16:53:06:34,-1.1,0,0,6.4,-10.9,1.2,-1.3,-3.5,-3.9
2017:02:03:16:53:06:34,-1.1,0,0,6.4,-10.9,1.2,-1.3,-3.5,-3.9
2017:02:03:16:53:06:34,-1.1,0,0,6.4,-10.9,1.2,-1.3,-3.5,-3.9
2017:02:03:16:53:06:34,-1.1,0,0,6.4,-10.9,1.2,-1.3,-3.5,-3.9
2017:02:03:16:53:06:34,-1.1,0,0,6.4,-10.9,1.2,-1.3,-3.5,-3.9
2017:02:03:16:53:06:34,-1.1,0,0,6.4,-10.9,1.2,-1.3,-3.5,-3.9
2017:02:03:16:53:07:27,-1.1,0,0.1,1.6,-17.2,-44.1,-1.8,-1.9,-3.7
2017:02:03:16:53:07:27,-1.1,0,0.1,1.6,-17.2,-44.1,-1.8,-1.9,-3.7
2017:02:03:16:53:07:27,-1.1,0,0.1,1.6,-17.2,-44.1,-1.8,-1.9,-3.7
2017:02:03:16:53:07:27,-1.1,0,0.1,1.6,-17.2,-44.1,-1.8,-1.9,-3.7
2017:02:03:16:53:07:28,-1.1,0,0.1,1.6,-17.2,-44.1,-1.8,-1.9,-3.7
2017:02:03:16:53:07:28,-1.1,0,0.1,1.6,-17.2,-44.1,-1.8,-1.9,-3.7
2017:02:03:16:53:07:28,-1.1,0,0.1,1.6,-17.2,-44.1,-1.8,-1.9,-3.7
2017:02:03:16:53:07:28,-1.1,0,0.1,1.6,-17.2,-44.1,-1.8,-1.9,-3.7
2017:02:03:16:53:07:28,-1.1,0,0.1,1.6,-17.2,-44.1,-1.8,-1.9,-3.7
2017:02:03:16:53:08:21,-1,0,0,2.4,-18.3,-44.1,-0.5,-2.3,-4.1
2017:02:03:16:53:08:21,-1,0,0,2.4,-18.3,-44.1,-0.5,-2.3,-4.1
2017:02:03:16:53:08:23,-1,0,0,2.4,-18.3,-44.1,-0.5,-2.3,-4.1
2017:02:03:16:53:08:29,-1,0,0,2.4,-18.3,-44.1,-0.5,-2.3,-4.1
2017:02:03:16:53:08:29,-1,0,0,2.4,-18.3,-44.1,-0.5,-2.3,-4.1
