Timestamp,AccelX,AccelY,AccelZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ
20170218160801977,-0.9,0,0.1,0,0,0,0,0,0
20170218160801978,-0.9,0,0.1,0,0,0,0,0,0
20170218160801978,-0.9,0,0.1,0,0,0,0,0,0
20170218160801978,-0.9,0,0.1,0,0,0,0,0,0
20170218160801978,-0.9,0,0.1,0,0,0,0,0,0
20170218160801978,-0.9,0,0.1,0,0,0,0,0,0
20170218160801978,-0.9,0,0.1,0,0,0,0,0,0
20170218160801978,-0.9,0,0.1,0,0,0,0,0,0
20170218160801978,-0.9,0,0.1,0,0,0,0,0,0
20170218160802175,-1,0,0,27.6,-26.4,-40.5,-1.3,-3,-4.4
20170218160802175,-1,0,0,27.6,-26.4,-40.5,-1.3,-3,-4.4
20170218160802175,-1,0,0,27.6,-26.4,-40.5,-1.3,-3,-4.4
20170218160802175,-1,0,0,27.6,-26.4,-40.5,-1.3,-3,-4.4
20170218160802175,-1,0,0,27.6,-26.4,-40.5,-1.3,-3,-4.4
20170218160802175,-1,0,0,27.6,-26.4,-40.5,-1.3,-3,-4.4
20170218160802175,-1,0,0,27.6,-26.4,-40.5,-1.3,-3,-4.4
20170218160802175,-1,0,0,27.6,-26.4,-40.5,-1.3,-3,-4.4
20170218160802175,-1,0,0,27.6,-26.4,-40.5,-1.3,-3,-4.4
20170218160802175,-0.9,0.1,0,25.8,-25.6,-40.2,-1.9,-1.5,-3.2
20170218160802176,-0.9,0.1,0,25.8,-25.6,-40.2,-1.9,-1.5,-3.2
20170218160802176,-0.9,0.1,0,25.8,-25.6,-40.2,-1.9,-1.5,-3.2
20170218160802176,-0.9,0.1,0,25.8,-25.6,-40.2,-1.9,-1.5,-3.2
20170218160802176,-0.9,0.1,0,25.8,-25.6,-40.2,-1.9,-1.5,-3.2
20170218160802176,-0.9,0.1,0,25.8,-25.6,-40.2,-1.9,-1.5,-3.2
20170218160802176,-0.9,0.1,0,25.8,-25.6,-40.2,-1.9,-1.5,-3.2
20170218160802176,-0.9,0.1,0,25.8,-25.6,-40.2,-1.9,-1.5,-3.2
20170218160802176,-0.9,0.1,0,25.8,-25.6,-40.2,-1.9,-1.5,-3.2
20170218160802374,-0.9,0,0,29.5,-27,-40.3,-3.7,-2.2,-3.4
20170218160802374,-0.9,0,0,29.5,-27,-40.3,-3.7,-2.2,-3.4
20170218160802374,-0.9,0,0,29.5,-27,-40.3,-3.7,-2.2,-3.4
20170218160802374,-0.9,0,0,29.5,-27,-40.3,-3.7,-2.2,-3.4
20170218160802374,-0.9,0,0,29.5,-27,-40.3,-3.7,-2.2,-3.4
20170218160802374,-0.9,0,0,29.5,-27,-40.3,-3.7,-2.2,-3.4
20170218160802374,-0.9,0,0,29.5,-27,-40.3,-3.7,-2.2,-3.4
20170218160802374,-0.9,0,0,29.5,-27,-40.3,-3.7,-2.2,-3.4
20170218160802374,-0.9,0,0,29.5,-27,-40.3,-3.7,-2.2,-3.4
20170218160802572,-1,0,0,29.1,-25.2,-39.3,-2,-3,-5.7
20170218160802572,-1,0,0,29.1,-25.2,-39.3,-2,-3,-5.7
20170218160802573,-1,0,0,29.1,-25.2,-39.3,-2,-3,-5.7
20170218160802573,-1,0,0,29.1,-25.2,-39.3,-2,-3,-5.7
20170218160802573,-1,0,0,29.1,-25.2,-39.3,-2,-3,-5.7
20170218160802573,-1,0,0,29.1,-25.2,-39.3,-2,-3,-5.7
20170218160802573,-1,0,0,29.1,-25.2,-39.3,-2,-3,-5.7
20170218160802573,-1,0,0,29.1,-25.2,-39.3,-2,-3,-5.7
20170218160802573,-1,0,0,29.1,-25.2,-39.3,-2,-3,-5.7
20170218160802573,-1,0,0,27.6,-26.8,-40.5,-3,-3,-3.2
20170218160802573,-1,0,0,27.6,-26.8,-40.5,-3,-3,-3.2
20170218160802573,-1,0,0,27.6,-26.8,-40.5,-3,-3,-3.2
20170218160802573,-1,0,0,27.6,-26.8,-40.5,-3,-3,-3.2
20170218160802573,-1,0,0,27.6,-26.8,-40.5,-3,-3,-3.2
20170218160802573,-1,0,0,27.6,-26.8,-40.5,-3,-3,-3.2
20170218160802573,-1,0,0,27.6,-26.8,-40.5,-3,-3,-3.2
20170218160802573,-1,0,0,27.6,-26.8,-40.5,-3,-3,-3.2
