Date, Time, Classification
13 Mar 2017, 16:12:46,Good
13 Mar 2017, 16:12:46,Pending
13 Mar 2017, 16:12:46,Bad
13 Mar 2017, 16:12:47,Good
13 Mar 2017, 16:12:47,Pending
13 Mar 2017, 16:12:47,Good
13 Mar 2017, 16:12:48,Pending
13 Mar 2017, 16:12:48,Good
13 Mar 2017, 16:12:48,Pending
13 Mar 2017, 16:12:49,Bad
13 Mar 2017, 16:12:50,Good
13 Mar 2017, 16:12:51,Pending
13 Mar 2017, 16:12:51,Good
13 Mar 2017, 16:12:51,Pending
13 Mar 2017, 16:12:52,Bad
13 Mar 2017, 16:12:52,Good
13 Mar 2017, 16:12:52,Pending
13 Mar 2017, 16:12:53,Bad
13 Mar 2017, 16:12:53,Good
13 Mar 2017, 16:12:53,Pending
13 Mar 2017, 16:12:54,Bad
13 Mar 2017, 16:12:55,Good
13 Mar 2017, 16:12:55,Pending
13 Mar 2017, 16:12:56,Bad
13 Mar 2017, 16:12:56,Good
13 Mar 2017, 16:12:58,Pending
13 Mar 2017, 16:12:58,Good
13 Mar 2017, 16:12:59,Pending
13 Mar 2017, 16:13:00,Bad
13 Mar 2017, 16:13:00,Good
13 Mar 2017, 16:13:01,Pending
13 Mar 2017, 16:13:01,Good
13 Mar 2017, 16:13:01,Pending
13 Mar 2017, 16:13:02,Bad
13 Mar 2017, 16:13:03,Good
13 Mar 2017, 16:13:03,Pending
13 Mar 2017, 16:13:03,Good
13 Mar 2017, 16:13:07,Pending
13 Mar 2017, 16:13:08,Bad
13 Mar 2017, 16:13:09,Good
13 Mar 2017, 16:13:10,Pending
13 Mar 2017, 16:13:10,Bad
13 Mar 2017, 16:13:14,Good
13 Mar 2017, 16:13:15,Pending
13 Mar 2017, 16:13:15,Bad
13 Mar 2017, 16:13:16,Good
13 Mar 2017, 16:13:16,Pending
13 Mar 2017, 16:13:16,Good
13 Mar 2017, 16:13:16,Pending
13 Mar 2017, 16:13:17,Good
13 Mar 2017, 16:13:17,Pending
13 Mar 2017, 16:13:18,Bad
13 Mar 2017, 16:13:26,Good
13 Mar 2017, 16:13:27,Pending
